source,target,weight,interaction
ACTB,IL7R,111.0,physical association
IL7R,ACTG1,111.0,physical association
ACTR3B,TLR9,2130.0,physical association
ADAM17,IL1R2,2.0,physical association
ADAM17,IL6R,2.0,physical association
AGER,TLR9,4.0,physical association
AHSG,TLR4,3.0,physical association
CD40,AKNA,4.0,physical association
AKT1,IL1R1,3.0,physical association
IL7R,ALB,111.0,physical association
CXCR1,APH1A,5.0,physical association
IL7R,APOA1,111.0,physical association
APP,CD74,2558.0,physical association
IL7R,APRT,111.0,physical association
TNFRSF1A,ARFGEF2,3.0,physical association
IL7R,ARHGDIA,111.0,physical association
CXCR2,ARPC3,4.0,physical association
IL7R,ARPC5,111.0,physical association
ATF1,CXCR4,2.0,physical association
IL7R,ATP5B,111.0,physical association
TNFRSF1A,AZI2,11.0,physical association
BCL2A1,CD40,14.0,physical association
IL3RA,BCL6,30.0,physical association
IL7R,BCL6,30.0,physical association
TLR1,BCL6,30.0,physical association
TLR7,BCL6,30.0,physical association
BCL6,TLR9,30.0,physical association
TNFRSF10B,BCL6,30.0,physical association
BCL6,TNFRSF1B,30.0,physical association
TNFRSF1A,BIRC2,10.0,physical association
BIRC2,TNFRSF1B,34.0,physical association
CD44,BMPR2,3.0,physical association
BMX,TNFRSF1B,2.0,physical association
TNFRSF1A,BRE,9.0,physical association
BRF1,CXCR2,4.0,physical association
CXCR1,BSG,5.0,physical association
BTK,TLR4,14.0,physical association
TLR6,BTK,14.0,physical association
TLR8,BTK,14.0,physical association
BTK,TLR9,14.0,physical association
C3,CD46,5.0,protein cleavage
CD46,C4B,2.0,physical association
CALM1,IL7R,111.0,physical association
IL7R,CALR,111.0,physical association
CAMLG,TNFRSF13B,51.0,physical association
IL7R,CAPNS1,111.0,physical association
IL7R,CAPZA1,111.0,physical association
CAPZA1,TLR9,2130.0,physical association
CAPZA2,TLR9,2130.0,physical association
IL7R,CAPZB,111.0,physical association
CAPZB,TLR9,2130.0,physical association
CASP3,CD247,7.0,protein cleavage
CASP8,TLR3,9.0,physical association
TNFRSF10A,CASP8,19.0,physical association
TNFRSF10B,CASP8,19.0,physical association
TNFRSF1A,CASP8,2.0,physical association
TLR10,CAT,20.0,physical association
CAV1,CD40,2.0,physical association
CD33,CBL,4.0,physical association
CBL,CD40,9.0,physical association
CBLB,CD33,4.0,physical association
CCR8,CCL1,2.0,physical association
CCR2,CCL11,2.0,physical association
CCR3,CCL11,9.0,physical association
CCR5,CCL11,24.0,physical association
CCR5,CCL13,24.0,physical association
CCL14,CCR1,7.0,physical association
CCL14,CCR3,4.0,physical association
CCL16,CCR1,16.0,physical association
CCL16,CCR2,16.0,physical association
CCL16,CCR5,16.0,physical association
CCR4,CCL17,3.0,physical association
CCL18,CCR3,1.0,physical association
CCR8,CCL18,1.0,physical association
CCR10,CCL19,23.0,physical association
CCR7,CCL19,3.0,physical association
CCR1,CCL2,13.0,physical association
CCR2,CCL2,13.0,physical association
CCR3,CCL2,9.0,physical association
CCR5,CCL2,24.0,physical association
CCL20,CCR6,7.0,physical association
CCR7,CCL21,3.0,physical association
CCR4,CCL22,4.0,physical association
CCR7,CCL22,1.0,physical association
CCL23,CCR1,7.0,physical association
CCL24,CCR3,3.0,physical association
CCL26,CCR1,2.0,physical association
CCL26,CCR2,1.0,physical association
CCL26,CCR3,8.0,physical association
CCL26,CCR5,2.0,physical association
CCL3,CCR1,13.0,physical association
CCL3,CCR5,24.0,physical association
CCL4,CCR1,7.0,physical association
CCL4,CCR5,24.0,physical association
CCL5,CCR1,13.0,physical association
CCL5,CCR3,9.0,physical association
CCL5,CCR5,24.0,physical association
CCR1,CCL7,11.0,physical association
CCR2,CCL7,13.0,physical association
CCR3,CCL7,9.0,physical association
CCR5,CCL7,24.0,physical association
CCR1,CCL8,13.0,physical association
CCR2,CCL8,13.0,physical association
CCR5,CCL8,24.0,physical association
CREB3,CCR1,2.0,physical association
GATA3,CCR1,103.0,physical association
CCR1,PLP2,3.0,physical association
TBX21,CCR1,103.0,physical association
CCR2,CCR5,10.0,physical association
CCR2,CXCR4,7.0,physical association
CCR2,DEFB103B,4.0,physical association
CCR2,DEFB106A,1.0,physical association
CCR2,DEFB4A,4.0,physical association
GATA3,CCR2,103.0,physical association
PIK3R1,CCR2,10.0,physical association
CCR2,STAT3,10.0,physical association
TBX21,CCR2,103.0,physical association
CCR3,GATA1,3.0,physical association
CCR3,GATA2,3.0,physical association
GATA3,CCR3,103.0,physical association
TBX21,CCR3,103.0,physical association
CCR5,CEBPB,4.0,physical association
CCR5,CXCR4,7.0,physical association
GATA3,CCR5,103.0,physical association
CCR5,STAT5B,10.0,physical association
TBX21,CCR5,103.0,physical association
DEFB4A,CCR6,1.0,physical association
GATA3,CCR9,103.0,physical association
TBX21,CCR9,103.0,physical association
IL7R,CCS,111.0,physical association
TLR2,CCT3,3.0,physical association
CCT5,IL7R,111.0,physical association
CD33,CD14,1.0,physical association
CD14,CD36,9.0,physical association
CD14,CD47,9.0,physical association
CD14,CD55,9.0,physical association
CD14,CD81,9.0,physical association
CD14,CREB1,1.0,physical association
CD14,FCGR1A,9.0,physical association
CD14,FCGR2A,9.0,physical association
CD14,FCGR3A,9.0,physical association
CD14,ITGAM,9.0,physical association
LBP,CD14,2.0,physical association
LTF,CD14,3.0,physical association
LYN,CD14,4.0,physical association
CD14,MZF1,1.0,physical association
CD14,PIK3R1,4.0,physical association
TLR2,CD14,5.0,physical association
TLR3,CD14,8.0,physical association
CD14,TLR4,9.0,physical association
TLR7,CD14,8.0,physical association
TLR8,CD14,8.0,physical association
CD14,TLR9,8.0,physical association
CD14,VDR,6.0,physical association
CXCR4,CD164,3.0,physical association
EGR1,CD164,137.0,physical association
CD180,LY86,2.0,physical association
CD19,CD22,6.0,physical association
PTPN6,CD19,6.0,physical association
LGALS1,CD2,3.0,physical association
IRF1,CD200,3.0,physical association
CD200,RELA,3.0,physical association
CD200,STAT1,3.0,physical association
CD22,GRB2,7.0,physical association
CD22,LYN,6.0,physical association
CD22,PLCG1,7.0,physical association
PTPN6,CD22,7.0,physical association
CD22,PTPRC,3.0,physical association
CD22,SH2D1A,23.0,physical association
CD22,SYK,7.0,physical association
SH2D1A,CD244,23.0,physical association
GZMB,CD247,7.0,protein cleavage
NCR1,CD247,6.0,physical association
SH2D1A,CD247,1.0,physical association
SYK,CD247,2.0,physical association
ZAP70,CD247,2.0,physical association
CD248,LGALS3BP,2.0,physical association
CD274,PDCD1,5.0,physical association
PIK3R1,CD28,6.0,physical association
CRKL,CD33,25.0,physical association
LEP,CD33,3.0,physical association
MUC2,CD33,1.0,physical association
CD33,PLCG1,25.0,physical association
PTPN11,CD33,25.0,physical association
PTPN6,CD33,25.0,physical association
CD33,SOCS3,4.0,physical association
CD33,SYK,25.0,physical association
ZAP70,CD33,4.0,physical association
CTNNB1,CD36,7.0,physical association
PPARG,CD36,7.0,physical association
CD36,PTK2,6.0,physical association
CD36,PXN,6.0,physical association
TCF4,CD36,7.0,physical association
CD36,TLR4,6.0,physical association
CD36,TLR6,6.0,physical association
WNT1,CD36,7.0,physical association
CLEC7A,CD37,1.0,physical association
CD38,IRF1,1.0,physical association
CD4,CXCR4,1.0,physical association
CD4,IL16,5.0,physical association
LGALS1,CD4,8.0,physical association
PIP,CD4,2.0,physical association
CD40,CD40LG,14.0,physical association
HSPA4,CD40,5.0,physical association
HSPA8,CD40,5.0,physical association
IL4R,CD40,23.0,physical association
JAK3,CD40,4.0,physical association
KPNA1,CD40,4.0,physical association
KPNB1,CD40,4.0,physical association
CD40,NCOR1,27.0,physical association
REL,CD40,14.0,physical association
STAT1,CD40,15.0,physical association
TAB2,CD40,27.0,physical association
TNFSF13B,CD40,14.0,physical association
CD40,TRAF1,34.0,physical association
CD40,TRAF2,51.0,physical association
TRAF3,CD40,34.0,physical association
TRAF3IP2,CD40,7.0,physical association
CD40,TRAF5,51.0,physical association
TRAF6,CD40,51.0,physical association
CD44,CEBPB,3.0,physical association
CD44,EGR1,3.0,physical association
CD44,HYAL2,2.0,physical association
LGALS9,CD44,3.0,physical association
CD44,RELA,8.0,physical association
CD44,ROCK1,2.0,physical association
CD44,SLC9A3R1,2.0,physical association
CD44,TLR2,1.0,physical association
VCAN,CD44,6.0,physical association
CD9,CD46,2.0,physical association
CFI,CD46,2.0,protein cleavage
GOPC,CD46,3.0,physical association
PTPN6,CD46,2.0,physical association
STAT3,CD46,2.0,physical association
STK39,CD46,2.0,physical association
SIRPA,CD47,2.0,physical association
FLOT1,CD48,6.0,physical association
CD5,SH2D1A,23.0,physical association
CLEC7A,CD63,1.0,physical association
CD63,TSC1,43.0,physical association
CD68,EGR1,60.0,physical association
CD68,ELF1,27.0,physical association
CD68,FLI1,27.0,physical association
CD68,IRF4,27.0,physical association
CD68,SPI1,27.0,physical association
EP300,CD69,46.0,physical association
KCNH8,CD69,2.0,physical association
CD69,RELA,22.0,physical association
RUNX1,CD69,2.0,physical association
LGALS1,CD7,8.0,physical association
CD70,POLR2F,146.0,physical association
CD72,LYN,5.0,physical association
CIITA,CD74,9.0,physical association
IRF8,CD74,15.0,physical association
CTLA4,CD80,4.0,physical association
CD81,GFI1,51.0,physical association
LST1,CD81,2.0,physical association
CD82,TAB2,43.0,physical association
ELAVL1,CD83,3.0,physical association
CD83,GORASP2,1.0,physical association
IRF1,CD83,6.0,physical association
IRF2,CD83,6.0,physical association
IRF5,CD83,6.0,physical association
NFKB1,CD83,6.0,physical association
REL,CD83,6.0,physical association
RELA,CD83,6.0,physical association
SH2D1A,CD84,23.0,physical association
CD9,EGR1,60.0,physical association
CD9,IL16,2.0,physical association
LST1,CD9,2.0,physical association
TLR9,CEBPA,5.0,physical association
TLR8,CEBPB,3.0,physical association
CXCR4,CEBPD,77.0,physical association
TLR8,CEBPD,3.0,physical association
IL7R,CFL1,111.0,physical association
CFL2,IL7R,111.0,physical association
