#unique_identifier_A	unique_identifier_B	alt_identifier_A	alt_identifier_B	alias_A	alias_B	interaction_detection_method	author	pmid	ncbi_taxid_A	ncbi_taxid_B	interaction_type	source_database	idinteraction_in_source_db	confidence_score	expansion_method	biological_role_A	biological_role_B	exp_role_A	exp_role_B	interactor_type_A	interactor_type_B	xrefs_A	xrefs_B	xrefs_interaction	annotations_A	annotations_B	annotations_interaction	ncbi_taxid_host_organism	parameters_interaction	creation_date	update_date	checksum_A	checksum_B	checksum_interaction	negative	features_A	features_B	stoichiometry_A	stoichiometry_B	participant_identification_method_A	participant_identification_method_B
innatedb:IDBG-25842	innatedb:IDBG-82738	ensembl:ENSG00000154589	ensembl:ENSG00000136869	uniprotkb:LY96_HUMAN|refseq:NP_056179|uniprotkb:Q9Y6Y9|refseq:NP_001182726|hgnc:LY96(display_short)	refseq:NP_612564|refseq:NP_612567|uniprotkb:O00206|uniprotkb:TLR4_HUMAN|refseq:NP_003257|hgnc:TLR4(display_short)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Shimazu et al. (1999)	pubmed:10359581	taxid:9606(Human)	taxid:9606(Human)	psi-mi:"MI:0915"(physical association)	MI:0974(innatedb)	innatedb:IDB-113240	lpr:3|hpr:3|np:1|	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	taxid:10090	-	2008/03/30	2008/03/30	-	-	-	false	-	-	-	-	psi-mi:"MI:0363"(inferred by author)	psi-mi:"MI:0363"(inferred by author)
innatedb:IDBG-25713	innatedb:IDBG-82738	ensembl:ENSG00000172936	ensembl:ENSG00000136869	refseq:NP_002459|refseq:NP_001166039|refseq:NP_001166038|uniprotkb:MYD88_HUMAN|refseq:NP_001166040|uniprotkb:Q99836|refseq:NP_001166037|hgnc:MYD88(display_short)	refseq:NP_612564|refseq:NP_612567|uniprotkb:O00206|uniprotkb:TLR4_HUMAN|refseq:NP_003257|hgnc:TLR4(display_short)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Chaudhary et al. (2007)	pubmed:17228323	taxid:9606(Human)	taxid:9606(Human)	psi-mi:"MI:0915"(physical association)	MI:0974(innatedb)	innatedb:IDB-113241	lpr:5|hpr:5|np:1|	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	taxid:9606	-	2010/02/28	2010/02/28	-	-	-	false	-	-	-	-	psi-mi:"MI:0363"(inferred by author)	psi-mi:"MI:0363"(inferred by author)
innatedb:IDBG-25713	innatedb:IDBG-28022	ensembl:ENSG00000172936	ensembl:ENSG00000198001	refseq:NP_002459|refseq:NP_001166039|refseq:NP_001166038|uniprotkb:MYD88_HUMAN|refseq:NP_001166040|uniprotkb:Q99836|refseq:NP_001166037|hgnc:MYD88(display_short)	uniprotkb:IRAK4_HUMAN|uniprotkb:Q9NWZ3|refseq:NP_001138728|refseq:NP_001138729|refseq:NP_001107654|refseq:NP_001138730|refseq:NP_057207|hgnc:IRAK4(display_short)	psi-mi:"MI:0018"(two hybrid)	Strelow et al. (2003)	pubmed:12860405	taxid:9606(Human)	taxid:9606(Human)	psi-mi:"MI:0915"(physical association)	MI:0974(innatedb)	innatedb:IDB-113242	lpr:14|hpr:14|np:1|	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	taxid:4932	-	2008/03/30	2008/03/30	-	-	-	false	-	-	-	-	psi-mi:"MI:0363"(inferred by author)	psi-mi:"MI:0363"(inferred by author)
innatedb:IDBG-25713	innatedb:IDBG-28022	ensembl:ENSG00000172936	ensembl:ENSG00000198001	refseq:NP_002459|refseq:NP_001166039|refseq:NP_001166038|uniprotkb:MYD88_HUMAN|refseq:NP_001166040|uniprotkb:Q99836|refseq:NP_001166037|hgnc:MYD88(display_short)	uniprotkb:IRAK4_HUMAN|uniprotkb:Q9NWZ3|refseq:NP_001138728|refseq:NP_001138729|refseq:NP_001107654|refseq:NP_001138730|refseq:NP_057207|hgnc:IRAK4(display_short)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Qin et al. (2004)	pubmed:15084582	taxid:9606(Human)	taxid:9606(Human)	psi-mi:"MI:0915"(physical association)	MI:0974(innatedb)	innatedb:IDB-113243	lpr:3|hpr:3|np:1|	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	taxid:9606	-	2010/03/07	2010/03/07	-	-	-	false	-	-	-	-	psi-mi:"MI:0363"(inferred by author)	psi-mi:"MI:0363"(inferred by author)
innatedb:IDBG-25713	innatedb:IDBG-28022	ensembl:ENSG00000172936	ensembl:ENSG00000198001	refseq:NP_002459|refseq:NP_001166039|refseq:NP_001166038|uniprotkb:MYD88_HUMAN|refseq:NP_001166040|uniprotkb:Q99836|refseq:NP_001166037|hgnc:MYD88(display_short)	uniprotkb:IRAK4_HUMAN|uniprotkb:Q9NWZ3|refseq:NP_001138728|refseq:NP_001138729|refseq:NP_001107654|refseq:NP_001138730|refseq:NP_057207|hgnc:IRAK4(display_short)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Pathak et al. (2007)	pubmed:17486091	taxid:9606(Human)	taxid:9606(Human)	psi-mi:"MI:0915"(physical association)	MI:0974(innatedb)	innatedb:IDB-113244	lpr:1|hpr:1|np:1|	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	taxid:9606	-	2010/03/07	2010/03/07	-	-	-	false	-	-	-	-	psi-mi:"MI:0363"(inferred by author)	psi-mi:"MI:0363"(inferred by author)
innatedb:IDBG-156729	innatedb:IDBG-204565	ensembl:ENSMUSG00000039005	ensembl:ENSMUSG00000032508	refseq:NP_067272|uniprotkb:Q9QUK6|uniprotkb:TLR4_MOUSE|mgi:Tlr4(display_short)	uniprotkb:MYD88_MOUSE|refseq:NP_034981|uniprotkb:P22366|mgi:Myd88(display_short)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Rhee et al. (2000)	pubmed:10952994	taxid:10090(Mouse)	taxid:10090(Mouse)	psi-mi:"MI:0915"(physical association)	MI:0974(innatedb)	innatedb:IDB-113245	lpr:2|hpr:2|np:1|	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	taxid:9606	-	2010/03/07	2010/03/07	-	-	-	false	-	-	-	-	psi-mi:"MI:0363"(inferred by author)	psi-mi:"MI:0363"(inferred by author)
innatedb:IDBG-156729	innatedb:IDBG-204565	ensembl:ENSMUSG00000039005	ensembl:ENSMUSG00000032508	refseq:NP_067272|uniprotkb:Q9QUK6|uniprotkb:TLR4_MOUSE|mgi:Tlr4(display_short)	uniprotkb:MYD88_MOUSE|refseq:NP_034981|uniprotkb:P22366|mgi:Myd88(display_short)	psi-mi:"MI:0018"(two hybrid)	Matsuguchi et al. (2003)	pubmed:12941697	taxid:10090(Mouse)	taxid:10090(Mouse)	psi-mi:"MI:0915"(physical association)	MI:0974(innatedb)	innatedb:IDB-113246	lpr:5|hpr:5|np:1|	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	taxid:4932	-	2008/03/30	2008/03/30	-	-	-	false	-	-	-	-	psi-mi:"MI:0363"(inferred by author)	psi-mi:"MI:0078"(nucleotide sequence identification)
innatedb:IDBG-25713	innatedb:IDBG-82738	ensembl:ENSG00000172936	ensembl:ENSG00000136869	refseq:NP_002459|refseq:NP_001166039|refseq:NP_001166038|uniprotkb:MYD88_HUMAN|refseq:NP_001166040|uniprotkb:Q99836|refseq:NP_001166037|hgnc:MYD88(display_short)	refseq:NP_612564|refseq:NP_612567|uniprotkb:O00206|uniprotkb:TLR4_HUMAN|refseq:NP_003257|hgnc:TLR4(display_short)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Dunne et al. (2003)	pubmed:12888566	taxid:9606(Human)	taxid:9606(Human)	psi-mi:"MI:0915"(physical association)	MI:0974(innatedb)	innatedb:IDB-113247	lpr:5|hpr:5|np:1|	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	taxid:9606	-	2010/03/07	2010/03/07	-	-	-	false	-	-	-	-	psi-mi:"MI:0363"(inferred by author)	psi-mi:"MI:0363"(inferred by author)
innatedb:IDBG-25713	innatedb:IDBG-82738	ensembl:ENSG00000172936	ensembl:ENSG00000136869	refseq:NP_002459|refseq:NP_001166039|refseq:NP_001166038|uniprotkb:MYD88_HUMAN|refseq:NP_001166040|uniprotkb:Q99836|refseq:NP_001166037|hgnc:MYD88(display_short)	refseq:NP_612564|refseq:NP_612567|uniprotkb:O00206|uniprotkb:TLR4_HUMAN|refseq:NP_003257|hgnc:TLR4(display_short)	psi-mi:"MI:0059"(gst pull down)	Dunne et al. (2003)	pubmed:12888566	taxid:9606(Human)	taxid:9606(Human)	psi-mi:"MI:0915"(physical association)	MI:0974(innatedb)	innatedb:IDB-113248	lpr:5|hpr:5|np:1|	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	taxid:0	-	2008/03/30	2008/03/30	-	-	-	false	-	-	-	-	psi-mi:"MI:0363"(inferred by author)	psi-mi:"MI:0363"(inferred by author)
innatedb:IDBG-28022	innatedb:IDBG-90782	ensembl:ENSG00000198001	ensembl:ENSG00000184216	uniprotkb:IRAK4_HUMAN|uniprotkb:Q9NWZ3|refseq:NP_001138728|refseq:NP_001138729|refseq:NP_001107654|refseq:NP_001138730|refseq:NP_057207|hgnc:IRAK4(display_short)	uniprotkb:IRAK1_HUMAN|refseq:NP_001560|uniprotkb:P51617|refseq:NP_001020414|refseq:NP_001020413|hgnc:IRAK1(display_short)	psi-mi:"MI:0018"(two hybrid)	Strelow et al. (2003)	pubmed:12860405	taxid:9606(Human)	taxid:9606(Human)	psi-mi:"MI:0915"(physical association)	MI:0974(innatedb)	innatedb:IDB-113249	lpr:14|hpr:14|np:1|	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	taxid:4932	-	2008/03/30	2008/03/30	-	-	-	false	-	-	-	-	psi-mi:"MI:0363"(inferred by author)	psi-mi:"MI:0363"(inferred by author)
