id,type
IL6,cytokine
APOA1,protein
EGR1,protein
NCOR1,protein
MYC,protein
TOLLIP,protein
UNC93B1,protein
APP,protein
BTK,protein
GRB2,protein
PLCG1,protein
TP53,protein
BCL6,protein
AKT1,protein
HIF1A,protein
CCL2,cytokine
CXCL1,cytokine
CXCL8,cytokine
CCL14,cytokine
CCL3,cytokine
CCL4,cytokine
CCL5,cytokine
NFKB1,protein
YY1,protein
CCL13,cytokine
CCL7,cytokine
CCL8,cytokine
ACTG1,protein
CFL1,protein
CFL2,protein
ACTB,protein
IL7R,receptor
REL,protein
TRAF1,protein
TRAF2,protein
ACTR3B,protein
SQSTM1,protein
MAPK1,protein
SRC,protein
ADAM17,protein
MAPK3,protein
PRKD1,protein
IKBKG,protein
STAT1,protein
IRAK1,protein
IRAK2,protein
SNTA1,protein
GPRASP1,protein
SLC9A3R1,protein
HMGB1,protein
AGER,protein
CIRBP,protein
S100A4,protein
STAT3,protein
RAF1,protein
LY96,protein
AHSG,protein
IRF1,protein
PRDM1,protein
CTNNB1,protein
CREB1,protein
CD40,receptor
AKNA,protein
YWHAZ,protein
CASP3,protein
PPP2CA,protein
PRKCZ,protein
ALB,protein
EGFR,protein
COTL1,protein
TRAF3,protein
IL1B,protein
CEBPD,protein
RELA,protein
RIPK1,protein
IRF2,protein
AZI2,protein
MBL2,protein
CXCR1,receptor
LGALS9,protein
EP300,protein
GATA3,protein
PIK3R1,protein
HRAS,protein
TIRAP,protein
ERAP1,protein
TNFRSF1A,receptor
FLOT1,protein
ARHGDIA,protein
GZMB,protein
RAC1,protein
CXCR2,receptor
ARPC5,protein
IKBKB,protein
TRAF6,protein
CIITA,protein
ATF1,protein
ELAVL1,protein
MMP1,protein
FADD,protein
ATP5B,protein
MYD88,protein
TICAM1,protein
HSPA4,protein
SP1,protein
TBX21,protein
BCL2A1,protein
RUNX1,protein
ITGAM,protein
MAP3K7,protein
KLF4,protein
CCL11,cytokine
IL3RA,receptor
IRF4,protein
IRF8,protein
PTPN6,protein
STAT5A,protein
TLR1,receptor
TLR7,receptor
TNFRSF10B,receptor
BIRC2,protein
RIPK2,protein
SH3KBP1,protein
TNF,cytokine
TNFSF14,protein
CASP8,protein
BMPR2,protein
CD44,receptor
BMX,protein
BRE,protein
BRF1,protein
PRKCB,protein
TLR6,receptor
TLR8,receptor
CCL18,cytokine
SCARF1,protein
C3,protein
CD46,receptor
CFI,protein
TRAF4,protein
CALM1,protein
IQGAP1,protein
CALR,protein
CAMLG,protein
GAPDH,protein
VDR,protein
CAPNS1,protein
CAPZA1,protein
CAPZA2,protein
CAPZB,protein
YWHAB,protein
IL37,cytokine
IL33,cytokine
IRF5,protein
TNFRSF10A,receptor
TNFSF10,protein
TRADD,protein
CAT,protein
TLR10,receptor
CAV1,protein
CD33,receptor
CBL,protein
CBLB,protein
PKN1,protein
CCR8,receptor
CCL1,cytokine
CCR2,receptor
CCR3,receptor
CCR5,receptor
PPARG,protein
JUN,protein
CCL16,cytokine
CCR4,receptor
CCL17,cytokine
EEF1A1,protein
CCL22,cytokine
CCR10,receptor
CCR7,receptor
CCL19,cytokine
CCR1,receptor
VCAN,protein
CCL20,cytokine
CCL23,cytokine
CCL24,cytokine
CCL26,cytokine
CEBPB,protein
POLR2F,protein
STAT5B,protein
TCF4,protein
CREB3,protein
DEFB4A,protein
TLR2,receptor
YWHAQ,protein
CCT5,protein
CD14,receptor
LBP,protein
LTF,protein
LYN,protein
TLR3,receptor
CXCR4,receptor
CD180,receptor
CD19,receptor
LGALS1,protein
CD200,receptor
CD22,receptor
SH2D1A,protein
NCR1,protein
SYK,protein
ZAP70,protein
CD248,receptor
CD274,receptor
CRKL,protein
LEP,protein
MUC2,protein
PTPN11,protein
CD36,receptor
WNT1,protein
CLEC7A,protein
CD38,receptor
CD4,receptor
PIP,protein
HSPA8,protein
IL4R,receptor
JAK3,protein
KPNA1,protein
KPNB1,protein
TAB2,protein
TNFSF13B,protein
TRAF3IP2,protein
ITGA5,protein
CD9,receptor
GOPC,protein
STK39,protein
SIRPA,protein
CD5,receptor
CD63,receptor
CD68,receptor
KCNH8,protein
