source,target,weight,interaction
A2M,CXCL8,3.0,physical association
A2M,IL2,8.0,physical association
A2M,IL4,4.0,physical association
A2M,IL6,8.0,physical association
A2M,TNF,8.0,physical association
ELANE,CCL14,4.0,protein cleavage
ELANE,CXCL8,3.0,protein cleavage
ELANE,IL33,7.0,protein cleavage
IL6,BRD4,6.0,physical association
IL6,CEBPB,25.0,physical association
IL6,CREBBP,25.0,physical association
IL6,CRP,2.0,physical association
IL6,EP300,25.0,physical association
IL6,HNRNPA1,1.0,physical association
IL6,IL6R,4.0,physical association
IL6,IL6ST,4.0,physical association
IL6,IRF1,25.0,physical association
IL6,NFKB1,2.0,physical association
IL6,POLR2A,25.0,physical association
IL6,RBPJ,1.0,physical association
IL6,REL,14.0,physical association
IL6,RELA,25.0,physical association
IL6,SH3GL2,2592.0,physical association
IL6,STAT1,25.0,physical association
IL6,TBP,25.0,physical association
IL6,TET2,36.0,physical association
EGR1,CSF3,272.0,physical association
EGR1,CXCL8,4.0,physical association
EGR1,CXCL9,272.0,physical association
EGR1,IFNGR1,137.0,physical association
EGR1,IL15,272.0,physical association
EGR1,IL2,40.0,physical association
EGR1,IL27,60.0,physical association
EGR1,IL4,10.0,physical association
EGR1,TNF,137.0,physical association
NCOR2,CXCL8,45.0,physical association
IRF3,CCL19,24.0,physical association
IRF3,CCL5,7.0,physical association
IRF3,CXCL10,5.0,physical association
IRF3,CXCL8,5.0,physical association
IRF3,IFNA1,20.0,physical association
IRF3,IFNA14,20.0,physical association
IRF3,IFNA2,20.0,physical association
IRF3,IFNA7,20.0,physical association
IRF3,IFNB1,21.0,physical association
IRF3,IFNL1,16.0,physical association
IRF3,IFNL3,16.0,physical association
IRF3,IL27,3.0,physical association
IRF3,TNF,1.0,physical association
APP,CCL26,2558.0,physical association
APP,IL15,2558.0,physical association
ABL1,CSF1,8.0,physical association
TP53,CCL18,2592.0,physical association
BCL6,CCL11,11.0,physical association
BCL6,CCL13,11.0,physical association
BCL6,CCL2,11.0,physical association
BCL6,CCL7,11.0,physical association
BCL6,CCL8,11.0,physical association
BCL6,IFNAR2,30.0,physical association
BCL6,IFNGR1,30.0,physical association
SUZ12,TNF,10.0,physical association
CCL2,ACKR1,5.0,physical association
CCL2,ACKR2,21.0,physical association
CCL2,ACKR4,8.0,physical association
CCL2,CCL11,8.0,physical association
CCL2,CCL13,8.0,physical association
CCL2,CCL8,8.0,physical association
CCL2,CCR1,13.0,physical association
CCL2,CCR2,13.0,physical association
CCL2,CCR3,9.0,physical association
CCL2,CCR5,24.0,physical association
CCL2,KLF6,9.0,physical association
CCL2,MMP12,32.0,protein cleavage
CCL2,NFKB1,7.0,physical association
CCL2,NR3C1,7.0,physical association
CCL2,RELA,9.0,physical association
CCL2,STAT1,4.0,physical association
CCL2,STAT2,4.0,physical association
CCL2,STAT6,11.0,physical association
CCL2,VCAN,16.0,physical association
ACKR1,CCL5,7.0,physical association
ACKR1,CXCL1,7.0,physical association
ACKR1,CXCL8,7.0,physical association
CXCL1,CXCR2,11.0,physical association
CXCL1,MMP12,32.0,protein cleavage
CXCL1,PARP1,17.0,physical association
CXCL1,PIGR,6.0,physical association
CXCL1,RELA,17.0,physical association
CXCL8,AHR,7.0,physical association
CXCL8,BCL3,7.0,physical association
CXCL8,BRD4,6.0,physical association
CXCL8,CEBPB,13.0,physical association
CXCL8,CHUK,45.0,physical association
CXCL8,CREB1,6.0,physical association
CXCL8,CTNNB1,3.0,physical association
CXCL8,CXCL2,6.0,physical association
CXCL8,CXCL5,6.0,physical association
CXCL8,CXCR1,11.0,physical association
CXCL8,CXCR2,11.0,physical association
CXCL8,EHMT1,52.0,physical association
CXCL8,ELAVL1,4.0,physical association
CXCL8,EP300,46.0,physical association
CXCL8,FOS,5.0,physical association
CXCL8,GNAI2,2.0,physical association
CXCL8,HDAC3,45.0,physical association
CXCL8,HIST3H3,45.0,physical association
CXCL8,HNRNPD,2.0,physical association
CXCL8,IKBKB,45.0,physical association
CXCL8,IRF1,5.0,physical association
CXCL8,JUN,10.0,physical association
CXCL8,KHSRP,4.0,physical association
CXCL8,KLF6,9.0,physical association
CXCL8,MMP1,32.0,protein cleavage
CXCL8,MMP12,32.0,protein cleavage
CXCL8,MMP13,12.0,protein cleavage
CXCL8,MMP8,12.0,protein cleavage
CXCL8,MMP9,32.0,protein cleavage
CXCL8,NFKB1,45.0,physical association
CXCL8,NFKB2,13.0,physical association
CXCL8,NR3C1,13.0,physical association
CXCL8,PF4,2.0,physical association
CXCL8,PIGR,6.0,physical association
CXCL8,REL,13.0,physical association
CXCL8,RELA,52.0,physical association
CXCL8,RELB,7.0,physical association
CXCL8,RPS3,22.0,physical association
CXCL8,SDC1,3.0,physical association
CXCL8,TIAL1,4.0,physical association
CXCL8,TRIP6,13.0,physical association
ACKR2,CCL11,21.0,physical association
ACKR2,CCL13,21.0,physical association
ACKR2,CCL14,21.0,physical association
ACKR2,CCL3,21.0,physical association
ACKR2,CCL4,21.0,physical association
ACKR2,CCL5,21.0,physical association
ACKR2,CCL7,21.0,physical association
ACKR2,CCL8,21.0,physical association
CCL14,CCR1,7.0,physical association
CCL14,CCR3,4.0,physical association
CCL14,CTSG,4.0,protein cleavage
CCL14,FOS,7.0,physical association
CCL14,JUN,7.0,physical association
CCL14,NFKB1,7.0,physical association
CCL14,RELA,7.0,physical association
CCL3,CCR1,13.0,physical association
CCL3,CCR5,24.0,physical association
CCL3,CEBPB,6.0,physical association
CCL3,CREB1,6.0,physical association
CCL3,CTSD,3.0,protein cleavage
CCL3,RUNX1,2.0,physical association
CCL4,CCR1,7.0,physical association
CCL4,CCR5,24.0,physical association
CCL4,CEBPB,6.0,physical association
CCL4,CREB1,6.0,physical association
CCL4,CTSD,3.0,protein cleavage
CCL4,RELA,3.0,physical association
CCL5,ATF2,7.0,physical association
CCL5,CCR1,13.0,physical association
CCL5,CCR3,9.0,physical association
CCL5,CCR5,24.0,physical association
CCL5,CEBPB,7.0,physical association
CCL5,CREB1,7.0,physical association
CCL5,IRF1,7.0,physical association
CCL5,IRF7,5.0,physical association
CCL5,PIGR,6.0,physical association
CCL5,PIK3R1,10.0,physical association
CCL5,POLR2F,146.0,physical association
CCL5,REL,40.0,physical association
CCL5,RELA,40.0,physical association
CCL5,RELB,40.0,physical association
CCL5,VCAN,16.0,physical association
NFKB1,CCL11,3.0,physical association
NFKB1,CCL19,40.0,physical association
NFKB1,CCL20,3.0,physical association
NFKB1,CCL22,40.0,physical association
NFKB1,CSF2,18.0,physical association
NFKB1,CXCL10,5.0,physical association
NFKB1,CXCL11,6.0,physical association
NFKB1,IFNB1,13.0,physical association
NFKB1,IFNL1,16.0,physical association
NFKB1,IFNL3,16.0,physical association
NFKB1,IL27,3.0,physical association
YY1,IL4,10.0,physical association
CCL13,ACKR4,8.0,physical association
CCL13,CCR5,24.0,physical association
CCL13,MMP12,32.0,protein cleavage
CCL13,STAT6,11.0,physical association
ACKR4,CCL19,23.0,physical association
ACKR4,CCL21,23.0,physical association
ACKR4,CCL25,23.0,physical association
ACKR4,CCL7,8.0,physical association
ACKR4,CCL8,8.0,physical association
CCL7,CCR1,11.0,physical association
CCL7,CCR2,13.0,physical association
CCL7,CCR3,9.0,physical association
CCL7,CCR5,24.0,physical association
CCL7,CTNNB1,1.0,physical association
CCL7,MMP12,32.0,protein cleavage
CCL7,MMP2,5.0,physical association
CCL7,NR3C1,7.0,physical association
CCL7,STAT6,11.0,physical association
CCL8,CCR1,13.0,physical association
CCL8,CCR2,13.0,physical association
CCL8,CCR5,24.0,physical association
CCL8,MMP12,32.0,protein cleavage
CCL8,STAT6,11.0,physical association
CCL8,VCAN,16.0,physical association
SMARCA4,CSF2,24.0,physical association
SMARCA4,IL3,24.0,physical association
EZH2,TNF,10.0,physical association
IL7R,IL7,4.0,physical association
REL,CSF2,18.0,physical association
REL,IFNB1,7.0,physical association
REL,IL2,5.0,physical association
REL,TNF,4.0,physical association
TRAF2,IFNAR1,5.0,physical association
TRAF2,TNF,21.0,physical association
MAPK1,IL4,10.0,physical association
MAPK3,IL4,10.0,physical association
STAT1,CCL19,24.0,physical association
STAT1,CXCL10,22.0,physical association
STAT1,CXCL11,6.0,physical association
STAT1,CXCL9,22.0,physical association
STAT1,IFNA1,9.0,physical association
STAT1,IFNAR2,7.0,physical association
STAT1,IFNB1,9.0,physical association
STAT1,IFNG,2.0,physical association
STAT1,IFNGR1,16.0,physical association
STAT1,IL10,10.0,physical association
STAT1,IL21,15.0,physical association
STAT1,TNF,25.0,physical association
STAT2,CCL19,24.0,physical association
STAT2,CXCL11,6.0,physical association
STAT2,IFNAR1,7.0,physical association
STAT2,IFNAR2,7.0,physical association
STAT2,IL21,15.0,physical association
IRAK1,IL10,0.0,physical association
SNTA1,IL9,184.0,physical association
AGO2,TNF,5.0,physical association
RBM4,TNF,5.0,physical association
PHF11,IFNG,1.0,physical association
STAT3,IFNAR1,2.0,physical association
STAT3,IFNG,6.0,physical association
STAT3,IL10,10.0,physical association
STAT3,IL13,10.0,physical association
STAT3,IL21,15.0,physical association
STAT3,IL4,10.0,physical association
STAT3,IL5,10.0,physical association
AHR,CCL1,4.0,physical association
AHR,CXCL13,7.0,physical association
IRF1,CCL19,24.0,physical association
IRF1,CXCL10,5.0,physical association
IRF1,CXCL11,6.0,physical association
IRF1,IFNA1,8.0,physical association
IRF1,IFNA14,7.0,physical association
IRF1,IFNA2,6.0,physical association
IRF1,IFNB1,12.0,physical association
IRF1,IFNG,12.0,physical association
IRF1,IFNGR1,12.0,physical association
IRF1,IFNL1,16.0,physical association
IRF1,IFNL3,16.0,physical association
IRF1,IL27,3.0,physical association
IRF1,IL4,20.0,physical association
IRF1,IL7,8.0,physical association
IRF1,TNF,25.0,physical association
PRDM1,IFNB1,4.0,physical association
IRF7,CCL19,24.0,physical association
IRF7,CXCL10,5.0,physical association
IRF7,IFNA1,20.0,physical association
IRF7,IFNA14,20.0,physical association
IRF7,IFNA2,20.0,physical association
