node,type,degree,in_degree,out_degree,betweenness,closeness,pagerank,kcore,community
A2M,protein,5,,,0.019176631023241374,0.007085600693022498,0.0011513904992125799,5,0
ELANE,protein,3,,,0.03687104571605827,0.007092775984863534,0.0015577317745471583,2,2
IL6,cytokine,19,,,0.06515445484288214,0.00709402534540868,0.023496723885892547,5,4
EGR1,protein,9,,,0.011465594437518656,0.0069857407496026975,0.01593489606101806,5,0
NCOR2,protein,1,,,0.0,0.00540232648287909,0.0017633271914640934,1,0
IRF3,protein,13,,,0.1338621319333485,0.007222842807461297,0.00463289679878857,5,0
APP,protein,2,,,0.0,0.0003629999854800006,0.015250125071961594,2,8
ABL1,protein,1,,,0.0,0.0006961364427427775,0.0037041590027973477,1,10
TP53,protein,1,,,0.0,0.000358150527252828,0.002119837686437374,1,6
BCL6,protein,7,,,0.0,0.006713536894676628,0.003914796874654031,5,1
SUZ12,protein,1,,,0.0,0.0067324755331082,0.0006375723106243893,1,0
CCL2,cytokine,20,,,0.048504614916393,0.007059363477485234,0.00730074233577023,5,1
ACKR1,protein,4,,,0.0073815251172018965,0.0069686669791155,0.0011599011511145688,3,1
CXCL1,cytokine,6,,,0.005911306984121409,0.006708225220438194,0.0033858432077979762,3,1
CXCL8,cytokine,47,,,0.20643542336078283,0.007186272675032922,0.026744360511520238,5,0
PF4,protein,1,,,0.0,0.007082329840684649,0.0005022451035593781,1,0
ACKR2,protein,9,,,0.0,0.0063281091470406186,0.005981911259003268,5,1
CCL14,cytokine,9,,,0.04322423752919072,0.007035777282825454,0.0030766664225595334,5,1
CCL3,cytokine,7,,,0.02910470036696926,0.007008992105647973,0.0026940526099349924,5,1
CCL4,cytokine,7,,,0.034215932435517016,0.007062767966864528,0.002472236225572622,5,1
CCL5,cytokine,18,,,0.016298526855477308,0.00698907458106306,0.010426701496277963,5,0
NFKB1,protein,15,,,0.08713003119531308,0.007152293140773549,0.006711850087323445,5,0
YY1,protein,1,,,0.0,0.006583757670319513,0.000818867631054795,1,0
CCL13,cytokine,7,,,0.00022884366641499708,0.006716755943804745,0.003665165046346875,5,1
ACKR4,protein,7,,,0.007110541440603069,0.0068107502031967615,0.004124124798372458,5,1
CCL25,cytokine,1,,,0.0,0.005871546099400909,0.0012419848767443373,1,1
CCL7,cytokine,12,,,0.033864473045025455,0.007088250739482246,0.005381020703658687,5,1
CCL8,cytokine,10,,,0.0005097770676405692,0.006728257718590529,0.0051233647505331045,5,1
SMARCA4,protein,2,,,0.0,0.006070568434872556,0.0026081367615925634,2,0
EZH2,protein,1,,,0.0,0.0067324755331082,0.0006375723106243893,1,0
IL7R,receptor,1,,,0.0,0.006695260984839076,0.0006864650616419404,1,0
REL,protein,7,,,0.039245518234333546,0.007088406686300707,0.002977051197054889,5,0
TRAF2,protein,2,,,0.0,0.006690672808896813,0.0011538972110864325,2,0
MAPK1,protein,1,,,0.0,0.006583757670319513,0.000818867631054795,1,0
MAPK3,protein,1,,,0.0,0.006583757670319513,0.000818867631054795,1,0
STAT1,protein,14,,,0.032765028473770774,0.007010212121680288,0.0047777579138978616,5,0
STAT2,protein,6,,,0.006879941940430413,0.006906376050083086,0.0026003715981902887,4,0
IRAK1,protein,1,,,0.0,0.006908745558323707,0.0004435901227266007,1,0
SNTA1,protein,1,,,0.0,0.0029307791938037353,0.0038276044806037092,1,9
AGO2,protein,1,,,0.0,0.006972135403095065,0.000540581216675495,1,0
RBM4,protein,1,,,0.0,0.006972135403095065,0.000540581216675495,1,0
PHF11,protein,1,,,0.0,0.0069842264228485405,0.0004746273214506219,1,0
STAT3,protein,7,,,0.047370199989465,0.006967913430489977,0.0032225838069533273,4,0
AHR,protein,3,,,0.00893280424209436,0.006880271399855344,0.0018562933145974004,2,1
IRF1,protein,18,,,0.06282402448802808,0.007147850229892979,0.0055670189380513995,5,0
PRDM1,protein,1,,,0.0,0.006743184368196443,0.0005328211064808603,1,0
IRF7,protein,10,,,0.0014192989541083577,0.006902824833688827,0.00435204323858122,5,0
CTNNB1,protein,3,,,0.060183250516507796,0.0071121906605246255,0.0006585491024808188,3,0
CREB1,protein,6,,,0.0023791547416290625,0.007019834610375973,0.0018835469556377404,5,0
NFAT5,protein,1,,,0.0,0.005549726106492568,0.001238917093107534,1,0
SMARCB1,protein,2,,,0.0,0.006070568434872556,0.0026081367615925634,2,0
CASP3,protein,2,,,0.0,0.006545637095453781,0.002350505891079702,2,2
KHSRP,protein,2,,,0.0,0.006981351010020066,0.0007548822722899442,2,0
ALDOA,protein,1,,,0.0,0.001252461074510393,0.0042165068398428715,1,12
IKZF3,protein,1,,,0.0,0.006649797715473902,0.000734849572984884,1,0
RELB,protein,9,,,0.004670517795375134,0.007013264020731955,0.004876683258566975,5,0
TRIM23,protein,1,,,0.0,0.0012820803221320403,0.0034413760700726863,1,13
RELA,protein,25,,,0.152551811727799,0.0071600815394556655,0.012315063438548933,5,0
RIPK1,protein,1,,,0.0,0.0062591422848455765,0.0008509527173119567,1,0
