source,target,weight,interaction
LGALS3,A1BG,20.0,physical association
LGALS3,A2M,20.0,physical association
LGALS3,ANXA7,2.0,physical association
LGALS3,APOA1,20.0,physical association
LGALS3,APOB,20.0,physical association
LGALS3,ATP5D,1.0,physical association
LGALS3,BCL2,1.0,physical association
LGALS3,CASP9,2.0,physical association
LGALS3,CSPG4,7.0,physical association
LGALS3,CTNNB1,4.0,physical association
LGALS3,ELN,3.0,physical association
LGALS3,FAS,1.0,physical association
LGALS3,FN1,20.0,physical association
LGALS3,GTF2I,10.0,physical association
LGALS3,HPX,20.0,physical association
LGALS3,ITGAM,1.0,physical association
LGALS3,ITGB1,7.0,physical association
LGALS3,ITGB4,2.0,physical association
LGALS3,ITIH4,20.0,physical association
LGALS3,KRAS,1.0,physical association
LGALS3,LGALS1,10.0,physical association
LGALS3,LGALS3BP,4.0,physical association
LGALS3,LGALS9,3.0,physical association
LGALS3,MMP2,2.0,protein cleavage
LGALS3,MMP9,2.0,protein cleavage
LGALS3,MUC1,2.0,physical association
LGALS3,MUC16,3.0,physical association
LGALS3,NFYA,6.0,physical association
LGALS3,ORM1,20.0,physical association
LGALS3,PDCD6IP,4.0,physical association
LGALS3,PTPRC,4.0,physical association
LGALS3,RUNX1,2.0,physical association
LGALS3,RUNX2,2.0,physical association
LGALS3,SERPINA1,20.0,physical association
LGALS3,SLC3A2,1.0,physical association
LGALS3,SNRNP70,2.0,physical association
LGALS3,SNRPB,2.0,physical association
LGALS3,SPN,4.0,physical association
LGALS3,SYNCRIP,1.0,physical association
LGALS3,TCF4,4.0,physical association
LGALS3,TF,20.0,physical association
LGALS3,TFRC,4.0,physical association
LGALS3,TP53,6.0,physical association
A2M,CXCL8,3.0,physical association
A2M,ELANE,51.0,physical association
A2M,FGF2,8.0,physical association
A2M,GZMA,6.0,physical association
A2M,IL2,8.0,physical association
A2M,IL4,4.0,physical association
A2M,IL6,8.0,physical association
A2M,LGALS8,20.0,physical association
A2M,LGALS9,20.0,physical association
A2M,NGF,8.0,physical association
A2M,PDGFB,8.0,physical association
A2M,PITX3,4.0,physical association
A2M,TGFB1,8.0,physical association
A2M,TGFB2,8.0,physical association
A2M,TNF,8.0,physical association
ELANE,ACLY,51.0,physical association
ELANE,AES,51.0,physical association
ELANE,ALAS2,51.0,physical association
ELANE,AZU1,51.0,physical association
ELANE,C1QA,51.0,physical association
ELANE,C1QC,51.0,physical association
ELANE,CAMP,4.0,cleavage reaction
ELANE,CCL14,4.0,protein cleavage
ELANE,CEBPB,3.0,physical association
ELANE,CEBPE,4.0,physical association
ELANE,CHIT1,51.0,physical association
ELANE,COL4A2,51.0,physical association
ELANE,COX5A,51.0,physical association
ELANE,COX5B,51.0,physical association
ELANE,CTSD,51.0,physical association
ELANE,CXCL8,3.0,protein cleavage
ELANE,DCAF7,51.0,physical association
ELANE,DTX2,51.0,physical association
ELANE,EHMT2,3.0,physical association
ELANE,ELN,13.0,physical association
ELANE,FCGRT,51.0,physical association
ELANE,GAMT,51.0,physical association
ELANE,GBA2,51.0,physical association
ELANE,GFI1,51.0,physical association
ELANE,HSPD1,51.0,physical association
ELANE,IL33,7.0,protein cleavage
ELANE,MMP9,51.0,physical association
ELANE,MT-CO2,51.0,physical association
ELANE,MT-CO3,51.0,physical association
ELANE,N4BP2L2,51.0,physical association
ELANE,PIGA,51.0,physical association
ELANE,SFTPD,2.0,cleavage reaction
ELANE,UROD,51.0,physical association
ELANE,VPS29,51.0,physical association
ELANE,WDR6,51.0,physical association
ELANE,WRAP73,51.0,physical association
IL6,BRD4,6.0,physical association
IL6,CEBPB,25.0,physical association
IL6,CREBBP,25.0,physical association
IL6,CRP,2.0,physical association
IL6,EP300,25.0,physical association
IL6,HNRNPA1,1.0,physical association
IL6,IL6R,4.0,physical association
IL6,IL6ST,4.0,physical association
IL6,IRF1,25.0,physical association
IL6,NFKB1,2.0,physical association
IL6,POLR2A,25.0,physical association
IL6,RBPJ,1.0,physical association
IL6,REL,14.0,physical association
IL6,RELA,25.0,physical association
IL6,SH3GL2,2592.0,physical association
IL6,STAT1,25.0,physical association
IL6,TBP,25.0,physical association
IL6,TET2,36.0,physical association
PDGFB,SPARC,4.0,physical association
PITX3,ACTB,4.0,physical association
PITX3,AHSG,4.0,physical association
PITX3,ALB,4.0,physical association
PITX3,AMBP,4.0,physical association
PITX3,APCS,4.0,physical association
PITX3,APOA1,4.0,physical association
PITX3,APOB,4.0,physical association
PITX3,APOE,4.0,physical association
PITX3,AZU1,4.0,physical association
PITX3,C1QA,4.0,physical association
PITX3,C1QB,4.0,physical association
PITX3,C1R,4.0,physical association
PITX3,C1S,4.0,physical association
PITX3,C3,4.0,physical association
PITX3,C4B,4.0,physical association
PITX3,C4BPA,4.0,physical association
PITX3,C5,4.0,physical association
PITX3,CD5L,4.0,physical association
PITX3,CFB,4.0,physical association
PITX3,CFH,4.0,physical association
PITX3,CFP,4.0,physical association
PITX3,CLU,4.0,physical association
PITX3,COLEC11,4.0,physical association
PITX3,CP,4.0,physical association
PITX3,DEFA1,4.0,physical association
PITX3,F10,4.0,physical association
PITX3,F11,4.0,physical association
PITX3,F2,4.0,physical association
PITX3,F5,4.0,physical association
PITX3,FCN2,4.0,physical association
PITX3,FCN3,4.0,physical association
PITX3,FGA,4.0,physical association
PITX3,FGB,4.0,physical association
