node,type,degree,in_degree,out_degree,betweenness,closeness,pagerank,kcore,community
LGALS3,protein,43,,,0.02691745530217743,0.0011300384401384327,0.000399484283424731,8,0
A2M,protein,16,,,0.0008065902991848076,0.001125681419255736,0.0002748747712526717,7,0
ELANE,protein,37,,,0.03023602790889746,0.001128045128787166,0.0010442602102259573,7,0
IL6,cytokine,19,,,0.005709593770982877,0.0011284431823869302,0.0002650984189314567,9,3
PDGFB,protein,2,,,0.0,0.001125221184057046,5.30074617660226e-05,2,0
PITX3,protein,97,,,0.02947476618785777,0.0011269462627224072,0.0023604708682537895,5,0
ISG15,protein,158,,,0.023616831710342682,0.0011296360406021888,0.0041781439817799165,9,5
AEN,protein,2,,,0.0,0.0006608593598394229,0.00012340976446251304,2,2
BHLHE40,protein,3,,,0.0016964502546176787,0.0006613469612596556,0.00016296096540809255,2,2
NOD2,protein,32,,,0.03710430807253355,0.001130698682980234,0.00019539692025686954,9,2
VPS52,protein,1,,,0.0,0.0006605121758368272,8.127253680640342e-05,1,2
MDFI,protein,8,,,0.0010270557253386765,0.00036146776909926694,0.0007554590529850904,2,2
AARS,protein,1,,,0.0,0.00021885675437263144,0.0001221174146987014,1,5
MDM2,protein,10,,,0.00033017068648432985,0.0011282015636160845,6.375943706458229e-05,8,1
AATF,protein,2,,,0.0,0.0011187916884123279,3.557231515936474e-05,2,1
APOA1,protein,6,,,0.0006839051251920629,0.0011218149471856306,0.00027436636373392266,4,5
EGR1,protein,514,,,0.15221994949731577,0.0011295468107025868,0.024818324056812252,9,0
ERBB2IP,protein,48,,,0.010024298995916758,0.0011255918995947657,0.0020151658366211554,7,2
ABCB1,protein,1,,,0.0,0.0011244317171028165,2.9497158537858388e-05,1,10
CARM1,protein,2,,,0.0,0.0011097742802111494,0.00013688242281158938,2,1
CYTH3,protein,1,,,0.0,0.0011097742802111494,4.696552665813322e-05,1,1
NCOA1,protein,1,,,0.0,0.0011097742802111494,4.696552665813322e-05,1,1
NCOR1,protein,9,,,0.001268428816795856,0.0011270813288285903,8.170988021809249e-05,7,7
NCOR2,protein,7,,,0.00034289255467979404,0.0011248249438316439,0.00011064416322527036,5,1
NR0B2,protein,2,,,0.0,0.0011097787197406805,6.697413219210282e-05,2,1
NR1H4,protein,2,,,0.00047656536532801364,0.0011284356087178688,4.750084822449721e-05,2,1
PPARGC1A,protein,4,,,0.003882744157152405,0.0011292240450119964,6.271855740263135e-05,3,1
MYC,protein,32,,,0.004684730572023526,0.0011282469883064456,0.00019990152750167263,9,2
TOLLIP,protein,31,,,0.0037815078716956834,0.001126432391857169,0.001624073680592539,9,1
NOTCH1,protein,6,,,0.0011750320176012494,0.0011261242027955833,3.844457431166265e-05,5,0
TMEM173,protein,39,,,0.002183903989852081,0.0011240886377972199,0.001371647020372174,9,1
UNC93B1,protein,29,,,0.00553836359724156,0.0011258881453161404,0.0014906525663782077,4,1
ABCC12,protein,1,,,0.0,0.0008609486026329397,8.674614169580705e-05,1,0
IRF3,protein,65,,,0.028322476987197764,0.0011306263341462448,0.0012633466827968354,9,1
ABCC2,protein,2,,,0.0,0.001128036184411786,0.0007606399305772249,2,0
ABCC6,protein,1,,,0.0,0.0011281210470173463,2.7052773570336607e-05,1,1
RNF2,protein,432,,,0.04254269344997041,0.0001911140889676214,0.03949821095677641,9,7
APP,protein,596,,,0.1195301062331103,0.0011282814033859482,0.05421582112028745,9,3
EED,protein,212,,,0.019336540771595013,0.0011098706259801794,0.020111231545545356,9,6
ABCG2,protein,1,,,0.0,0.0011226997828128777,3.471133086455987e-05,1,0
ABHD14A,protein,1,,,0.0,2.822835724792712e-07,0.00017470300489168413,1,64
ABHD2,protein,2,,,0.0,0.0009769524222875516,0.00010899197201134057,2,0
AES,protein,112,,,0.023396851158689856,0.0010678136149631597,0.005517802167165334,7,2
ACTN3,protein,12,,,0.0010282772110525157,0.0006613595743903361,0.0006049781338788011,4,2
BTK,protein,15,,,0.00188886763419481,0.0011279224426762764,7.709328236037604e-05,8,2
ABL1,protein,11,,,0.0016464894012508985,0.0011282375818834,0.00014341144519266664,7,0
GRAP,protein,4,,,0.0,0.0011117885845469396,6.82252344554328e-05,3,0
GRB2,protein,42,,,0.010476712734155276,0.0011294812771012223,0.0010117841138189997,8,1
MAVS,protein,69,,,0.011271927327642612,0.001128344732618209,0.00140714724304469,9,1
MTOR,protein,43,,,0.00798727537703146,0.001126224780090979,0.0004679615702039805,9,8
PLCG1,protein,69,,,0.015533186483357228,0.0011248402225344776,0.0029786621826500036,7,4
TP53,protein,59,,,0.05205895895494896,0.0011306818622023108,0.0004597853702235647,9,14
BCL6,protein,50,,,0.006810109020421007,0.001122414521773595,0.0013529644217724298,9,2
LDOC1,protein,6,,,0.0,0.0010709146543194197,0.00031574755519467914,5,8
