source,target,weight,interaction
IL6,IL6R,4.0,physical association
APOA1,IL7R,111.0,physical association
EGR1,CD164,137.0,physical association
EGR1,CD44,3.0,physical association
EGR1,CD68,60.0,physical association
EGR1,CD9,60.0,physical association
EGR1,IL1R1,272.0,physical association
NCOR1,CD40,27.0,physical association
MYC,CXCR4,9.0,physical association
TOLLIP,IL1RAP,2.0,physical association
TOLLIP,TLR2,13.0,physical association
TOLLIP,TLR3,788.0,physical association
TOLLIP,TLR4,13.0,physical association
UNC93B1,TLR3,2.0,physical association
UNC93B1,TLR8,2.0,physical association
APP,CD74,2558.0,physical association
BTK,TLR4,14.0,physical association
BTK,TLR6,14.0,physical association
BTK,TLR8,14.0,physical association
BTK,TLR9,14.0,physical association
GRB2,CD22,7.0,physical association
GRB2,IL7R,111.0,physical association
PLCG1,CD22,7.0,physical association
PLCG1,CD33,25.0,physical association
PLCG1,IL3RA,89.0,physical association
TP53,TLR10,7.0,physical association
TP53,TLR2,7.0,physical association
TP53,TLR4,7.0,physical association
TP53,TLR5,7.0,physical association
TP53,TLR6,7.0,physical association
TP53,TLR8,7.0,physical association
TP53,TNFRSF10B,23.0,physical association
BCL6,IL3RA,30.0,physical association
BCL6,IL7R,30.0,physical association
BCL6,TLR1,30.0,physical association
BCL6,TLR7,30.0,physical association
BCL6,TLR9,30.0,physical association
BCL6,TNFRSF10B,30.0,physical association
BCL6,TNFRSF1B,30.0,physical association
AKT1,IL1R1,3.0,physical association
HIF1A,CXCR4,1.0,physical association
CCL2,CCR1,13.0,physical association
CCL2,CCR2,13.0,physical association
CCL2,CCR3,9.0,physical association
CCL2,CCR5,24.0,physical association
CXCL1,CXCR2,11.0,physical association
CXCL8,CXCR1,11.0,physical association
CXCL8,CXCR2,11.0,physical association
CCL14,CCR1,7.0,physical association
CCL14,CCR3,4.0,physical association
CCL3,CCR1,13.0,physical association
CCL3,CCR5,24.0,physical association
CCL4,CCR1,7.0,physical association
CCL4,CCR5,24.0,physical association
CCL5,CCR1,13.0,physical association
CCL5,CCR3,9.0,physical association
CCL5,CCR5,24.0,physical association
NFKB1,CD83,6.0,physical association
NFKB1,IL7R,25.0,physical association
YY1,CXCR4,9.0,physical association
CCL13,CCR5,24.0,physical association
CCL7,CCR1,11.0,physical association
CCL7,CCR2,13.0,physical association
CCL7,CCR3,9.0,physical association
CCL7,CCR5,24.0,physical association
CCL8,CCR1,13.0,physical association
CCL8,CCR2,13.0,physical association
CCL8,CCR5,24.0,physical association
ACTG1,IL7R,111.0,physical association
CFL1,IL7R,111.0,physical association
CFL2,IL7R,111.0,physical association
ACTB,IL7R,111.0,physical association
IL7R,ALB,111.0,physical association
IL7R,APRT,111.0,physical association
IL7R,ARHGDIA,111.0,physical association
IL7R,ARPC5,111.0,physical association
IL7R,ATP5B,111.0,physical association
IL7R,CALM1,111.0,physical association
IL7R,CALR,111.0,physical association
IL7R,CAPNS1,111.0,physical association
IL7R,CAPZA1,111.0,physical association
IL7R,CAPZB,111.0,physical association
IL7R,CCS,111.0,physical association
IL7R,CCT5,111.0,physical association
IL7R,CLIC1,111.0,physical association
IL7R,COTL1,111.0,physical association
IL7R,DBNL,111.0,physical association
IL7R,ECH1,111.0,physical association
IL7R,ENO1,111.0,physical association
IL7R,ENO2,111.0,physical association
IL7R,ERP29,111.0,physical association
IL7R,EZR,111.0,physical association
IL7R,F13A1,111.0,physical association
IL7R,FGG,111.0,physical association
IL7R,FYN,4.0,physical association
IL7R,GAPDH,111.0,physical association
IL7R,GSN,111.0,physical association
IL7R,GSTP1,111.0,physical association
IL7R,HSPA1A,111.0,physical association
IL7R,HSPA1L,111.0,physical association
IL7R,HSPA5,111.0,physical association
IL7R,HSPA6,111.0,physical association
IL7R,HSPA8,111.0,physical association
IL7R,HSPB1,111.0,physical association
IL7R,HSPD1,111.0,physical association
IL7R,IL2RG,111.0,physical association
IL7R,IL7,4.0,physical association
IL7R,ITGA2B,111.0,physical association
IL7R,JAK1,111.0,physical association
IL7R,JAK3,111.0,physical association
IL7R,LCP1,111.0,physical association
IL7R,LDHB,111.0,physical association
IL7R,LGALS1,111.0,physical association
IL7R,LGALSL,111.0,physical association
IL7R,MAPK1,111.0,physical association
IL7R,MAPK3,111.0,physical association
IL7R,MAPRE1,111.0,physical association
IL7R,MSN,111.0,physical association
IL7R,MTPN,111.0,physical association
IL7R,MYL1,111.0,physical association
IL7R,MYL3,111.0,physical association
IL7R,MYL6,111.0,physical association
IL7R,NAPA,111.0,physical association
