node,type,degree,in_degree,out_degree,betweenness,closeness,pagerank,kcore,community
IL6,cytokine,1,,,0.0,0.008697325149086697,0.0010716492947313496,1,8
APOA1,protein,1,,,0.0,0.0045885814467713825,0.001096675814095531,1,1
EGR1,protein,5,,,0.0,0.010226663503845972,0.00818214636492931,2,3
NCOR1,protein,1,,,0.0,0.008096214747544012,0.0008012768540595135,1,0
MYC,protein,1,,,0.0,0.009573239787196689,0.0007993436734720395,1,2
TOLLIP,protein,4,,,0.0,0.00955878748911583,0.0073341518545273305,4,4
UNC93B1,protein,2,,,0.033384903224641625,0.010158477223868671,0.0003614626912942896,2,0
APP,protein,1,,,0.0,0.0003556878470419066,0.003067240725884811,1,10
BTK,protein,4,,,0.0,0.009232076422691781,0.0012688068243926743,3,0
GRB2,protein,2,,,0.0,0.009224041847327702,0.0013563794605770713,2,1
PLCG1,protein,3,,,0.0,0.009224041847327702,0.003342776733919536,2,0
TP53,protein,7,,,0.001218719532011699,0.010042761774823428,0.0021909941551541113,4,0
BCL6,protein,7,,,0.006946701332466688,0.008218082390222717,0.003717179960304803,4,0
AKT1,protein,1,,,0.0,0.009326025400404624,0.0003148998438450715,1,3
HIF1A,protein,1,,,0.0,0.01041408825791082,0.000333464281761929,1,2
CCL2,cytokine,4,,,0.0,0.008976597792100471,0.0011002043567673826,4,3
CXCL1,cytokine,1,,,0.0,0.008762035761593606,0.0010005232538772162,1,2
CXCL8,cytokine,2,,,0.0,0.008769443051340977,0.0018974598741797449,2,2
CCL14,cytokine,2,,,0.0,0.009381837625461407,0.0004290281507103495,2,3
CCL3,cytokine,2,,,0.0,0.008587788978411065,0.0007829067875178979,2,3
CCL4,cytokine,2,,,0.0,0.009081097375248714,0.0007002562790145214,2,3
CCL5,cytokine,3,,,0.0,0.008903810579147011,0.0009119964867489492,3,3
NFKB1,protein,2,,,0.0,0.009646352654868285,0.0007227290012085314,2,1
YY1,protein,1,,,0.0,0.009573239787196689,0.0007993436734720395,1,2
CCL13,cytokine,1,,,0.0,0.008017265603538,0.0006038306857605823,1,3
CCL7,cytokine,4,,,0.0,0.009004949131586438,0.001072654187266257,4,3
CCL8,cytokine,3,,,0.0,0.00875857281743201,0.000971114657536331,3,3
ACTG1,protein,1,,,0.0,0.0045885814467713825,0.001096675814095531,1,1
CFL1,protein,1,,,0.0,0.0045885814467713825,0.001096675814095531,1,1
CFL2,protein,1,,,0.0,0.0045885814467713825,0.001096675814095531,1,1
ACTB,protein,1,,,0.0,0.0045885814467713825,0.001096675814095531,1,1
IL7R,receptor,112,,,0.2944155562777597,0.00990987348840101,0.10449779346368175,4,1
REL,protein,3,,,0.0033220827465424477,0.009948090266733722,0.0008784179469615697,3,0
TRAF1,protein,7,,,0.01878008915352513,0.008949081422216464,0.002284546722438667,4,0
TRAF2,protein,10,,,0.01019454858370604,0.008910970991946208,0.0038642924113832236,4,0
ACTR3B,protein,1,,,0.0,0.0004263833904406009,0.0021220748129004933,1,6
SQSTM1,protein,1,,,0.0,0.008536066179045327,0.0004953040417357811,1,5
MAPK1,protein,1,,,0.0,0.0045885814467713825,0.001096675814095531,1,1
SRC,protein,3,,,0.0,0.009915516694780413,0.0009492197835018632,3,5
ADAM17,protein,2,,,0.017265193370165743,0.009200889918329331,0.0008534856719357336,1,8
MAPK3,protein,1,,,0.0,0.0045885814467713825,0.001096675814095531,1,1
PRKD1,protein,1,,,0.0,0.010337686185538209,0.00030557808861358113,1,0
IKBKG,protein,1,,,0.0,0.008938253141978384,0.00041065993252900574,1,5
STAT1,protein,4,,,0.0065387688224461055,0.010016764035139665,0.0016330104460163882,3,1
IRAK1,protein,6,,,0.008934374854914348,0.010373538923856953,0.001848729060672499,4,0
IRAK2,protein,3,,,0.03259600801646623,0.01001594091423779,0.000562541160713008,3,3
SNTA1,protein,1,,,0.0,0.0034255579155063227,0.0027752020464047347,1,3
GPRASP1,protein,1,,,0.0,0.0063979890015137585,0.0036379556032555835,1,2
SLC9A3R1,protein,1,,,0.0,0.010338124594621564,0.0004611264215577474,1,2
HMGB1,protein,1,,,0.0,0.009619896132324795,0.00027869761217394425,1,6
AGER,protein,1,,,0.0,0.009619896132324795,0.00027869761217394425,1,6
CIRBP,protein,2,,,0.0,0.009663752073940119,0.0008271676799028082,2,0
S100A4,protein,1,,,0.0,0.0045885814467713825,0.001096675814095531,1,1
STAT3,protein,3,,,0.0013839237352399527,0.010140096002211954,0.0015130929875977433,2,1
RAF1,protein,1,,,0.0,0.010271910413836863,0.0002983571166158942,1,3
LY96,protein,2,,,0.0,0.01030905114673108,0.0005018563093609723,2,4
AHSG,protein,1,,,0.0,0.010203548530458184,0.0003013916956259142,1,4
IRF1,protein,6,,,0.02379836833444249,0.010368905909875646,0.0013481066117065664,3,3
PRDM1,protein,1,,,0.0,0.0066978878691370215,0.0015194344414341055,1,0
CTNNB1,protein,1,,,0.0,0.009373540381872856,0.0006885888644977364,1,0
CREB1,protein,3,,,0.013817796916188205,0.010158053918708911,0.0024841567732559224,2,11
CD40,receptor,26,,,0.15335823752148547,0.010520833730009126,0.009560572004221016,4,0
AKNA,protein,1,,,0.0,0.01007388796583162,0.00035316232020725385,1,0
YWHAZ,protein,1,,,0.0,0.0045885814467713825,0.001096675814095531,1,1
CASP3,protein,1,,,0.0,0.009216718134567524,0.0009553134239274011,1,2
