source,target,weight,interaction
LGALS3,A1BG,20.0,physical association
A2M,CXCL8,3.0,physical association
ELANE,A2M,51.0,physical association
A2M,FGF2,8.0,physical association
A2M,GZMA,6.0,physical association
A2M,IL2,8.0,physical association
A2M,IL4,4.0,physical association
IL6,A2M,8.0,physical association
LGALS3,A2M,20.0,physical association
A2M,LGALS8,20.0,physical association
A2M,LGALS9,20.0,physical association
A2M,NGF,8.0,physical association
PDGFB,A2M,8.0,physical association
PITX3,A2M,4.0,physical association
A2M,TGFB1,8.0,physical association
A2M,TGFB2,8.0,physical association
A2M,TNF,8.0,physical association
ISG15,AAAS,311.0,physical association
AEN,AAMP,619.0,physical association
BHLHE40,AAMP,619.0,physical association
NOD2,AAMP,1.0,physical association
VPS52,AAMP,619.0,physical association
BHLHE40,AANAT,619.0,physical association
MDFI,AANAT,619.0,physical association
AARS,UBB,3624.0,ubiquitination reaction
MDM2,AATF,9.0,physical association
AATF,PIN1,9.0,physical association
APOA1,ABCA1,1.0,physical association
EGR1,ABCA1,137.0,physical association
ERBB2IP,ABCA1,184.0,physical association
ABCB1,NLRP3,3.0,physical association
CARM1,ABCB11,8.0,physical association
CYTH3,ABCB11,8.0,physical association
NCOA1,ABCB11,8.0,physical association
NCOR1,ABCB11,8.0,physical association
NCOR2,ABCB11,8.0,physical association
NR0B2,ABCB11,8.0,physical association
NR1H4,ABCB11,8.0,physical association
PPARGC1A,ABCB11,8.0,physical association
MYC,ABCB5,1.0,physical association
TOLLIP,ABCB6,788.0,physical association
NOTCH1,ABCC1,1.0,physical association
TMEM173,ABCC1,788.0,physical association
UNC93B1,ABCC1,788.0,physical association
ABCC12,EGR1,272.0,physical association
IRF3,ABCC2,2.0,physical association
ABCC2,NFKB1,3695.0,physical association
ERBB2IP,ABCC4,184.0,physical association
ABCC6,CEBPB,1.0,physical association
RNF2,ABCE1,4574.0,physical association
APP,ABCF1,2558.0,physical association
EED,ABCF1,4574.0,physical association
RNF2,ABCF1,4574.0,physical association
ISG15,ABCF2,311.0,physical association
ABCG2,GLI1,1.0,physical association
ABHD14A,NUDT1,619.0,physical association
ABHD2,EGR1,137.0,physical association
ABHD2,SP1,137.0,physical association
AES,ABI2,619.0,physical association
ACTN3,ABI3,619.0,physical association
BTK,ABL1,3.0,physical association
ABL1,CSF1,8.0,physical association
EGR1,ABL1,137.0,physical association
GRAP,ABL1,13.0,physical association
GRB2,ABL1,13.0,physical association
ABL1,JUN,8.0,physical association
MAVS,ABL1,14.0,physical association
MTOR,ABL1,5.0,physical association
PLCG1,ABL1,89.0,physical association
ABL1,TERT,5.0,physical association
TP53,ABL1,2.0,physical association
BCL6,ABL2,30.0,physical association
PLCG1,ABL2,89.0,physical association
APP,ABLIM1,2558.0,physical association
LDOC1,ABLIM1,3001.0,physical association
SUZ12,ABLIM1,4574.0,physical association
ABLIM2,EGR1,60.0,physical association
GRAMD3,ABO,619.0,physical association
TMEM79,ABO,619.0,physical association
ABR,ERBB2IP,184.0,physical association
IKBKAP,ACACA,31.0,physical association
ACACA,RNF2,4574.0,physical association
ACACA,SUZ12,4574.0,physical association
APP,ACAD10,2558.0,physical association
TBKBP1,ACAD11,788.0,physical association
ADRB2,ACAD9,315.0,physical association
EGR1,ACAD9,137.0,physical association
ACAN,SOX9,2.0,physical association
AKT1,ACAP1,5.0,phosphorylation reaction
ACAP1,CLTC,5.0,physical association
ACAP1,GULP1,2.0,physical association
ACAP1,ITGB1,5.0,physical association
NOD1,ACAP1,5.0,physical association
ACAP1,NOD2,5.0,physical association
SLC2A4,ACAP1,5.0,physical association
ACAP1,TFRC,5.0,physical association
LNX1,ACAT2,619.0,physical association
HIF1A,ACE,2.0,physical association
AGT,ACE2,3.0,cleavage reaction
LYL1,ACER2,171.0,physical association
ACHE,ATF2,2.0,physical association
ACHE,JUN,2.0,physical association
SMAD4,ACHE,2.0,physical association
COMMD3-BMI1,ACIN1,4574.0,physical association
SUZ12,ACIN1,4574.0,physical association
CCL2,ACKR1,5.0,physical association
ACKR1,CCL5,7.0,physical association
CXCL1,ACKR1,7.0,physical association
CXCL8,ACKR1,7.0,physical association
PF4,ACKR1,5.0,physical association
ACKR2,CCL11,21.0,physical association
ACKR2,CCL13,21.0,physical association
CCL14,ACKR2,21.0,physical association
ACKR2,CCL2,21.0,physical association
CCL3,ACKR2,21.0,physical association
CCL4,ACKR2,21.0,physical association
CCL5,ACKR2,21.0,physical association
ACKR2,CCL7,21.0,physical association
ACKR2,CCL8,21.0,physical association
NFKB1,ACKR3,4.0,physical association
YY1,ACKR3,4.0,physical association
CCL13,ACKR4,8.0,physical association
ACKR4,CCL19,23.0,physical association
CCL2,ACKR4,8.0,physical association
ACKR4,CCL21,23.0,physical association
CCL25,ACKR4,23.0,physical association
CCL7,ACKR4,8.0,physical association
CCL8,ACKR4,8.0,physical association
NFKB1,ACKR4,6.0,physical association
ACKR4,RELA,6.0,physical association
ELANE,ACLY,51.0,physical association
ISG15,ACLY,311.0,physical association
ACO1,POLR2F,146.0,physical association
